t,y,n
270.0,-0.14938823636661452,6.0
275.0,-0.1431732766203073,6.0
280.0,-0.13736889501933047,6.0
285.0,-0.12615591653539068,6.0
290.0,-0.12610978216058058,6.0
295.0,-0.1253823657700665,6.0
300.0,-0.12737011874887696,6.0
0.0,-0.004805111782889698,7.0
5.0,-0.002080446100153666,7.0
10.0,-0.0004353301924199057,7.0
15.0,0.0007269262802586354,7.0
20.0,0.005299852425517439,7.0
25.0,-0.0038697021893179346,7.0
30.0,0.0071459593655129406,7.0
35.0,-0.004353185181522583,7.0
40.0,-0.0004947120160610288,7.0
45.0,0.005776224809838578,7.0
50.0,-0.0034806959688277015,7.0
55.0,-0.0028607635642762014,7.0
60.0,0.003430984114338557,7.0
62.0,-0.5049452092057319,7.0
65.0,-0.48471326234330764,7.0
70.0,-0.46550679419736085,7.0
75.0,-0.44721792556953205,7.0
80.0,-0.4249946586293794,7.0
85.0,-0.40496527851725417,7.0
90.0,-0.3873464387079632,7.0
95.0,-0.3747940819157338,7.0
100.0,-0.3598747336570127,7.0
105.0,-0.3430785787442459,7.0
110.0,-0.3272325536588321,7.0
115.0,-0.3199779073381749,7.0
120.0,-0.30291614918702026,7.0
125.0,-0.29211028095171626,7.0
130.0,-0.2812160410469664,7.0
135.0,-0.2664497873732062,7.0
140.0,-0.26187186885005814,7.0
145.0,-0.24520266018374048,7.0
150.0,-0.2405400871164499,7.0
155.0,-0.22601098197385253,7.0
160.0,-0.21847777010341543,7.0
165.0,-0.21637059584156051,7.0
170.0,-0.20218196975762082,7.0
175.0,-0.19514853730625145,7.0
180.0,-0.19103018881708791,7.0
185.0,-0.18695000987483,7.0
190.0,-0.17174265181095105,7.0
195.0,-0.1714148247475853,7.0
200.0,-0.15781104950553868,7.0
205.0,-0.15643694740829442,7.0
210.0,-0.14525658493684504,7.0
215.0,-0.14301880956289098,7.0
220.0,-0.13075360362790453,7.0
225.0,-0.12395398363582236,7.0
230.0,-0.11967217412826597,7.0
235.0,-0.11749473145378815,7.0
240.0,-0.11025744835518264,7.0
245.0,-0.10027344425996577,7.0
250.0,-0.10341452038734325,7.0
255.0,-0.09857382005341739,7.0
260.0,-0.0942354870585815,7.0
265.0,-0.1025817552809135,7.0
270.0,-0.09398734749876266,7.0
275.0,-0.08038288414435253,7.0
280.0,-0.08570578828507089,7.0
285.0,-0.08588973441184473,7.0
290.0,-0.07620420549933295,7.0
295.0,-0.07774361183083961,7.0
300.0,-0.07830059186084164,7.0
0.0,-0.018881546202631203,8.0
5.0,-0.0015054169049589837,8.0
10.0,0.003492459808188746,8.0
15.0,-0.0027165174893530584,8.0
